id,playername,timestamp,device,metric,value,team,sportsteam,groupteam,team_mean,team_std,player_mean,z_score_team,significant_deviation_team,declined_vs_player_mean
5368878,PLAYER_159,2024-11-25 16:40:00,kinexon,Distance_Total,690.407064,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,4737.427098134329,-1.5668272023692054,False,True
5368936,PLAYER_159,2024-11-25 16:40:00,kinexon,Speed_Max,4.546167,Womens Basketball,Basketball,Women's Basketball,5.984375098274568,1.526609709157477,6.425591181818182,-0.9420928542818604,False,True
5368956,PLAYER_1264,2024-11-25 16:40:00,kinexon,Distance_Total,853.20155,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,4187.206099618644,-1.4814149002176311,False,True
5369014,PLAYER_1264,2024-11-25 16:40:00,kinexon,Speed_Max,4.989284,Womens Basketball,Basketball,Women's Basketball,5.984375098274568,1.526609709157477,6.43495009009009,-0.6518307150186742,False,True
5369034,PLAYER_296,2024-11-25 16:40:00,kinexon,Distance_Total,620.430108,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,3369.320814730769,-1.6035415472857735,False,True
5369092,PLAYER_296,2024-11-25 16:40:00,kinexon,Speed_Max,3.353431,Womens Basketball,Basketball,Women's Basketball,5.984375098274568,1.526609709157477,6.176251026315789,-1.723390125513196,False,True
5369112,PLAYER_376,2024-11-25 16:40:00,kinexon,Distance_Total,283.052087,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,2740.0976457,-1.7805514336584125,False,True
5369170,PLAYER_376,2024-11-25 16:40:00,kinexon,Speed_Max,2.76129,Womens Basketball,Basketball,Women's Basketball,5.984375098274568,1.526609709157477,4.066256784810126,-2.111269880533749,True,True
5369190,PLAYER_555,2024-11-25 16:40:00,kinexon,Distance_Total,396.651623,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,3908.1154777142856,-1.7209499193103737,False,True
5369248,PLAYER_555,2024-11-25 16:40:00,kinexon,Speed_Max,3.771373,Womens Basketball,Basketball,Women's Basketball,5.984375098274568,1.526609709157477,6.271540079207921,-1.4496187761676853,False,True
5369268,PLAYER_741,2024-11-25 16:40:00,kinexon,Distance_Total,433.769985,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,3345.7399421954024,-1.7014752747544424,False,True
5369326,PLAYER_741,2024-11-25 16:40:00,kinexon,Speed_Max,3.600107,Womens Basketball,Basketball,Women's Basketball,5.984375098274568,1.526609709157477,5.706204952941176,-1.561805931124613,False,True
5369346,PLAYER_1128,2024-11-25 16:40:00,kinexon,Distance_Total,499.885125,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,4234.954635698629,-1.666787083199394,False,True
5369404,PLAYER_1128,2024-11-25 16:40:00,kinexon,Speed_Max,4.532335,Womens Basketball,Basketball,Women's Basketball,5.984375098274568,1.526609709157477,5.736332232876713,-0.9511534543271947,False,True
5369424,PLAYER_1239,2024-11-25 16:40:00,kinexon,Distance_Total,698.837825,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,5089.6517449615385,-1.5624038909684759,False,True
5369482,PLAYER_1239,2024-11-25 16:40:00,kinexon,Speed_Max,4.169005,Womens Basketball,Basketball,Women's Basketball,5.984375098274568,1.526609709157477,6.213085435897436,-1.1891514166226906,False,True
5369647,PLAYER_145,2024-11-25 18:42:16,kinexon,Speed_Max,5.140139,Mens Basketball,Basketball,Men's Basketball,5.674505753661087,1.4872150568594005,5.7660761515151515,-0.35930698199729566,False,True
5369730,PLAYER_183,2024-11-25 18:42:16,kinexon,Speed_Max,4.999933,Mens Basketball,Basketball,Men's Basketball,5.674505753661087,1.4872150568594005,6.156827256410256,-0.4535811754660443,False,True
5371073,PLAYER_252,2024-11-25 21:08:53,hawkins,Peak Propulsive Power(W),3956.6115,"Team: Men's Basketball 2024-2025, Team: Stony Brook Men's Basketball ",Basketball,Men's Basketball,5594.174722545455,953.4380890116944,4206.2614416666665,-1.7175349311279393,False,True
5372050,PLAYER_1079,2024-11-25 21:28:55,hawkins,Jump Height(M),0.5547,"Team: Stony Brook Men's Basketball , Team: Men's Basketball 2024-2025",Basketball,Men's Basketball,0.4244123636363636,0.06424447295976878,0.53576,2.0279975904732725,True,False
5372127,PLAYER_1079,2024-11-25 21:29:14,hawkins,Jump Height(M),0.6071,"Team: Stony Brook Men's Basketball , Team: Men's Basketball 2024-2025",Basketball,Men's Basketball,0.4244123636363636,0.06424447295976878,0.53576,2.843631956916188,True,False
5372156,PLAYER_1079,2024-11-25 21:29:14,hawkins,Peak Velocity(M/S),3.5438,"Team: Stony Brook Men's Basketball , Team: Men's Basketball 2024-2025",Basketball,Men's Basketball,2.986212909090909,0.22155412854001313,3.33958,2.5167081948932846,True,False
5372638,PLAYER_1264,2024-11-26 15:15:00,kinexon,Speed_Max,5.38007,Womens Basketball,Basketball,Women's Basketball,5.984375098274568,1.526609709157477,6.43495009009009,-0.3958478022572508,False,True
5372658,PLAYER_296,2024-11-26 15:15:00,kinexon,Distance_Total,2363.144044,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,3369.320814730769,-0.6892033966349507,False,True
5372716,PLAYER_296,2024-11-26 15:15:00,kinexon,Speed_Max,4.752715,Womens Basketball,Basketball,Women's Basketball,5.984375098274568,1.526609709157477,6.176251026315789,-0.806794356728093,False,True
5372736,PLAYER_376,2024-11-26 15:15:00,kinexon,Distance_Total,1559.894,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,2740.0976457,-1.110639264317799,False,True
5372794,PLAYER_376,2024-11-26 15:15:00,kinexon,Speed_Max,3.357896,Womens Basketball,Basketball,Women's Basketball,5.984375098274568,1.526609709157477,4.066256784810126,-1.7204653439051552,False,True
5372814,PLAYER_555,2024-11-26 15:15:00,kinexon,Distance_Total,3000.940276,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,3908.1154777142856,-0.3545750820204155,False,True
5372892,PLAYER_741,2024-11-26 15:15:00,kinexon,Distance_Total,169.489305,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,3345.7399421954024,-1.840133664529287,False,True
5372950,PLAYER_741,2024-11-26 15:15:00,kinexon,Speed_Max,3.265084,Womens Basketball,Basketball,Women's Basketball,5.984375098274568,1.526609709157477,5.706204952941176,-1.7812614985760322,False,True
5372964,PLAYER_955,2024-11-26 15:15:00,kinexon,Distance_Total,0.0,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,1741.8484089375,-1.9290584929176413,False,True
5373029,PLAYER_1128,2024-11-26 15:15:00,kinexon,Distance_Total,3039.157569,Womens Basketball,Basketball,Women's Basketball,3676.754728623994,1905.984054979596,4234.954635698629,-0.33452386863268896,False,True
