metric,slope,r_value,p_value,std_err,player
Distance_Total,0.3760708795404859,0.0507022149200467,0.3484673263893281,0.4005629516419872,PLAYER_555
Jump Height(M),1.140821973555865e-05,0.0636783612558028,0.3917810742240017,1.328937033301508e-05,PLAYER_555
Peak Propulsive Power(W),-0.4831588547990752,-0.2754566734687722,0.0001606174985349,0.1253321220363067,PLAYER_555
Peak Velocity(M/S),4.532286578814631e-05,0.0625353970974962,0.4003535338214915,5.376520500134984e-05,PLAYER_555
Speed_Max,0.0007639153217519,0.1214163372651421,0.0241098719888227,0.0003372065751118,PLAYER_555
Distance_Total,-0.5408931303360034,-0.1167650449548019,0.0133980334333587,0.2178463138308098,PLAYER_741
Jump Height(M),2.0223096890505574e-05,0.1037370413772301,0.1119546883233991,1.2675246359654829e-05,PLAYER_741
Peak Propulsive Power(W),0.570024750937019,0.3051469961436218,1.7766662098648897e-06,0.1162928112945866,PLAYER_741
Peak Velocity(M/S),8.784088276358663e-05,0.1025221764474082,0.1162396179114293,5.571555686389172e-05,PLAYER_741
Speed_Max,-8.19648378593816e-05,-0.0177380709338279,0.7077759343345675,0.0002185239798533,PLAYER_741
