metric,slope,r_value,p_value,std_err,player
Distance_Total,-0.5408931303360034,-0.11676504495480197,0.013398033433358741,0.21784631383080982,PLAYER_741
Jump Height(M),2.0223096890505574e-05,0.10373704137723018,0.11195468832339912,1.2675246359654827e-05,PLAYER_741
Peak Propulsive Power(W),0.570024750937019,0.3051469961436218,1.7766662098648897e-06,0.11629281129458668,PLAYER_741
Peak Velocity(M/S),8.784088276358663e-05,0.10252217644740828,0.11623961791142938,5.571555686389172e-05,PLAYER_741
Speed_Max,-8.19648378593816e-05,-0.01773807093382793,0.7077759343345675,0.00021852397985330525,PLAYER_741
Distance_Total,0.3760708795404859,0.05070221492004671,0.3484673263893281,0.40056295164198724,PLAYER_555
Jump Height(M),1.140821973555865e-05,0.06367836125580283,0.39178107422400177,1.328937033301508e-05,PLAYER_555
Peak Propulsive Power(W),-0.4831588547990752,-0.2754566734687722,0.00016061749853493352,0.12533212203630678,PLAYER_555
Peak Velocity(M/S),4.532286578814631e-05,0.06253539709749628,0.4003535338214915,5.3765205001349844e-05,PLAYER_555
Speed_Max,0.0007639153217519545,0.12141633726514213,0.024109871988822754,0.0003372065751118287,PLAYER_555
Distance_Total,-0.5408931303360034,-0.11676504495480197,0.013398033433358741,0.21784631383080982,PLAYER_741
Jump Height(M),2.0223096890505574e-05,0.10373704137723018,0.11195468832339912,1.2675246359654827e-05,PLAYER_741
Peak Propulsive Power(W),0.570024750937019,0.3051469961436218,1.7766662098648897e-06,0.11629281129458668,PLAYER_741
Peak Velocity(M/S),8.784088276358663e-05,0.10252217644740828,0.11623961791142938,5.571555686389172e-05,PLAYER_741
Speed_Max,-8.19648378593816e-05,-0.01773807093382793,0.7077759343345675,0.00021852397985330525,PLAYER_741
Distance_Total,0.3760708795404859,0.05070221492004671,0.3484673263893281,0.40056295164198724,PLAYER_555
Jump Height(M),1.140821973555865e-05,0.06367836125580283,0.39178107422400177,1.328937033301508e-05,PLAYER_555
Peak Propulsive Power(W),-0.4831588547990752,-0.2754566734687722,0.00016061749853493352,0.12533212203630678,PLAYER_555
Peak Velocity(M/S),4.532286578814631e-05,0.06253539709749628,0.4003535338214915,5.3765205001349844e-05,PLAYER_555
Speed_Max,0.0007639153217519545,0.12141633726514213,0.024109871988822754,0.0003372065751118287,PLAYER_555
